Gene_set;Term;Overlap;P-value;Adjusted P-value;Old P-value;Old Adjusted P-value;Odds Ratio;Combined Score;Genes
ARCHS4_Tissues;LIVER (BULK TISSUE);60/2316;0,000129018;0,000663519;0;0;1,768515511;15,83805005;"FKBP11;IFITM1;SERPINA1;AVIL;RORC;TNFAIP3;RORA;CLU;WFDC2;AKR7A3;CHP2;TIMP3;UGT2A3;SH2D6;CTSB;SMIM14;ANXA13;UGT2B17;CMBL;PROX1;RNASE1;SDCBP2;IL17RB;AZGP1;CEACAM1;SELENOM;MT1A;SLPI;AGTR1;TFF1;CDHR5;GPRC5C;DNASE1L3;CFTR;CES1;C1QB;ADH1C;MAOB;THBS1;EGFR;SELENBP1;IL1RL1;PRDX4;TTR;ALDH1B1;MYH14;APOE;DUOX2;IL32;CD163;CCL20;RARRES2;AKR1C3;BMX;LYVE1;ARHGAP24;MLPH;LGR5;FOXA3;C1QC"
ARCHS4_Tissues;ALVEOLAR MACROPHAGE;52/2316;0,008223092;0,038612778;0;0;1,481363696;7,111744212;"SERPINA1;CD83;PLXND1;MS4A7;TNFAIP3;BRCA2;CXCL3;AREG;IL4I1;LGALS2;HPGDS;CA2;FFAR4;CHP2;CTLA4;IER5;CTSB;FCRL1;CYBB;MCEMP1;IL17RB;GPRIN3;MAF;TBC1D4;IL1B;IRF8;CES1;C1QB;PTGER4;C1QA;KLRB1;RGS13;HDC;ITLN1;THBS1;LILRA4;SOCS3;CCL4;CD14;TRPM5;ICOS;CD163;KLRC2;CCL20;ARHGAP24;CD2;MLPH;CD5;GPR183;S100P;IL7R;C1QC"
ARCHS4_Tissues;HEPATOCYTE;52/2316;0,008223092;0,038612778;0;0;1,481363696;7,111744212;"SERPINA1;AQP8;RORC;HRCT1;CLU;AQP1;AKR7A3;CA2;UGT2A3;ANXA13;CMBL;PROX1;ANO7;RNASE1;FOXP3;SDCBP2;IL17RB;AZGP1;CEACAM1;MT1A;SLPI;AGTR1;CDHR5;GPRC5C;CES2;CES1;C1QB;C1QA;ADH1C;MAOB;SMIM6;EGFR;RAP1GAP;SELENBP1;TTR;RAB26;MYH14;APOE;CD14;IL32;CCL20;RARRES2;AKR1C3;GUCA2B;PDZK1IP1;LYVE1;SMOC2;MLPH;LCN2;S100P;FOXA3;C1QC"
ARCHS4_Tissues;SKIN (BULK TISSUE);51/2316;0,012601878;0,05670845;0;0;1,4467926;6,328139833;"RORC;RORA;MSLN;AREG;WFDC2;AQP1;ROBO1;CALB2;CA2;CHP2;TIMP3;CTSG;EPHB3;CPA3;RNF43;KRT1;SDCBP2;AZGP1;MAF;SLPI;TBC1D4;CEACAM6;SCNN1A;CHI3L2;RHOV;COL17A1;KLK1;HDC;KRT86;THBS1;EGFR;IL1RL1;FRZB;MYH14;PI3;DUOX2;CLCA4;AFAP1L2;CDKN2B;GALNT5;CMA1;OTOP2;PDZK1IP1;LYVE1;FERMT1;SMOC2;SVOPL;LCN2;S100P;CD24;LGR5"
ARCHS4_Tissues;ESOPHAGUS (BULK TISSUE);50/2316;0,018911008;0,081695554;0;0;1,412504543;5,604833705;"MKI67;MSLN;AREG;AQP1;KRTCAP3;CA2;PBK;CD177;EPHB3;CPA3;ANXA1;KRT1;SDCBP2;CEACAM1;SLPI;CEACAM7;CEACAM6;CEACAM5;SCNN1A;TFF1;RHOV;CES2;C1QB;COL17A1;ADH1C;KLK1;REP15;KRT86;EGFR;IL1RL1;S100A12;MYH14;PI3;DUOX2;CLCA4;AFAP1L2;CDKN2B;GALNT5;CMA1;TMEM61;OTOP2;PDZK1IP1;LYVE1;FERMT1;SMOC2;SLC6A8;LCN2;S100P;CD24;C1QC"
ARCHS4_Tissues;ADIPOSE (BULK TISSUE);49/2316;0,027786137;0,107175099;0;0;1,378496375;4,939453101;"PLXND1;HRCT1;GIMAP7;AQP1;CALB2;HPGDS;CA4;FFAR4;TIMP3;CTSG;CPA3;ANXA1;ANK2;RNASE1;ADRA2A;AZGP1;SELENOM;MT1A;BANK1;AGTR1;SLC29A4;IRF8;CES1;C1QB;C1QA;ADH1C;MAOB;HDC;EGFR;SELENBP1;FRZB;MYH14;IGFBP7;APOE;CD14;PRPH;AFAP1L2;CDKN2B;CMA1;RARRES2;AKR1C3;BMX;LYVE1;ARHGAP24;SMOC2;PPP1R1B;CPE;CDK15;C1QC"
ARCHS4_Tissues;ALVEOLAR CELL TYPE II;49/2316;0,027786137;0,107175099;0;0;1,378496375;4,939453101;"SERPINA1;CD83;TNFAIP3;CXCL3;MSLN;AREG;WFDC2;DMBT1;CHP2;MUC12;CTSE;IER5;HTR3E;ANXA13;RNASE1;SDCBP2;AZGP1;SLPI;CEACAM6;B3GNT6;CEACAM5;SCNN1A;CHI3L2;RHOV;GPRC5C;CFTR;CES1;COL17A1;HHLA2;EGFR;SOCS3;MYH14;PI3;TRPM5;DUOX2;SPDEF;CDKN2B;CD163;GALNT5;CCL20;OTOP2;PDZK1IP1;FERMT1;SULT1B1;SVOPL;MLPH;LCN2;KLRD1;S100P"
ARCHS4_Tissues;SUBCUTANEOUS ADIPOSE TISSUE;49/2316;0,027786137;0,107175099;0;0;1,378496375;4,939453101;"PLXND1;HRCT1;CLU;GIMAP7;AQP1;CALB2;HPGDS;CA4;FFAR4;TIMP3;CTSG;CPA3;ANXA1;RNASE1;ADRA2A;AZGP1;SELENOM;MT1A;BANK1;AGTR1;SLC29A4;IRF8;DNASE1L3;CES1;C1QB;C1QA;ADH1C;MAOB;HDC;EGFR;SELENBP1;FRZB;MYH14;IGFBP7;APOE;CD14;AFAP1L2;CDKN2B;CMA1;RARRES2;AKR1C3;BMX;LYVE1;ARHGAP24;SMOC2;SLC6A8;PPP1R1B;CDK15;C1QC"
ARCHS4_Tissues;PLASMACYTOID DENDRITIC CELL;48/2316;0,039970461;0,13925193;0;0;1,344764994;4,329624959;"PTGER4;IFITM1;CD83;SH2D7;RGS13;HDC;DERL3;TNFAIP3;LRMP;ASCL2;SMIM6;LILRA4;TNFSF13B;SPIB;FCRLA;IL4I1;CD79A;SOCS3;LGALS2;TCL1A;SIT1;CCL4;TNFRSF17;CCR7;MS4A12;TIGIT;TRGV4;RNF43;FYB1;NKG7;CYBB;FOXP3;ARHGAP24;BATF;CD2;SELL;TBC1D4;CD5;BANK1;CD8A;GPR183;CD7;IRF8;CDHR5;LTB;DNASE1L3;MS4A1;CES1"
ARCHS4_Tissues;RENAL CORTEX;48/2316;0,039970461;0,13925193;0;0;1,344764994;4,329624959;"ROBO2;SH2D7;ADH1C;MAOB;LEF1;HEPACAM2;GATA2;MKI67;MSLN;WFDC2;EGFR;RAP1GAP;AQP1;ROBO1;LGALS2;FRZB;CA2;SPOCK2;CA4;PBK;TIMP3;MYH14;UGT2A3;IGFBP7;TRPM5;EPHB3;AFAP1L2;LEFTY1;FZD7;ETV1;PDZK1IP1;LYVE1;RNASE1;MEIS2;ARHGAP24;SMOC2;SVOPL;AZGP1;VCAN;TBC1D4;PPP1R1B;SCNN1A;IL1RAPL1;AGTR1;CDHR5;CD24;GPRC5C;LGR5"
ARCHS4_Tissues;SUPERIOR FRONTAL GYRUS;48/2316;0,039970461;0,13925193;0;0;1,344764994;4,329624959;"C1QB;C1QA;MAOB;ARX;HRCT1;KRT86;CLU;WFDC2;RAP1GAP;CALB2;FRZB;RAB26;KIF5C;MB;SPOCK2;CA4;CA7;MYH14;STXBP6;APOE;CLCA4;INSL5;CHGB;SPDEF;NKX2-2;GALNT8;BCAS1;CHGA;HES6;AFAP1L2;LEFTY1;ABCC8;RIIAD1;ANK2;VWA5B2;RNASE1;SDCBP2;IL17RB;ADRA2A;SMOC2;SLC6A8;PPP1R1B;SCG5;CPE;SCG3;RHOV;SCG2;C1QC"
ARCHS4_Tissues;ADRENAL GLAND;47/2316;0,056288757;0,173691021;0;0;1,311307344;3,772972778;"C1QB;C1QA;SLC26A2;CD83;MAOB;PLXND1;AQP8;LEF1;RORA;CLU;EGFR;RAP1GAP;AQP1;ROBO1;CALB2;IL1RL1;TIMP3;APOE;CD14;TRPM5;CHGB;PRPH;CHGA;RNF43;CD163;RARRES2;TMEM61;DNAJC12;CYBB;ANK2;ETV1;PROX1;VWA5B2;LYVE1;RNASE1;MEIS2;ADRA2A;FERMT1;SMOC2;SVOPL;MT1A;RFX6;TBC1D4;AGTR1;DNASE1L3;LGR5;C1QC"
ARCHS4_Tissues;CEREBELLUM;47/2316;0,056288757;0,173691021;0;0;1,311307344;3,772972778;"ROBO2;AQP8;RORA;EGFR;ROBO1;NEUROD1;CA1;FRZB;KIF5C;SPOCK2;DPYSL3;CHP2;MUC12;CLCA1;MS4A12;ATOH1;CLCA4;CD177;RUNX1T1;GALNT8;HES6;NXPE4;RNF43;ABCC8;FZD7;GUCA2B;ANK2;ETV1;PROX1;OTOP2;RGMB;LYVE1;GUCA2A;ADRA2A;GPRIN3;VCAN;TMIGD1;CEACAM7;NOVA1;KIT;IL1RAPL1;AGTR1;CPE;CDHR5;RHOV;INSM1;SLC26A3"
ARCHS4_Tissues;MACROPHAGE;47/2316;0,056288757;0,173691021;0;0;1,311307344;3,772972778;"C1QB;PTGER4;FCN1;C1QA;SERPINA1;CD83;PLXND1;MS4A7;CXCR5;TNFAIP3;CXCL3;ASCL2;AREG;LILRA4;FCRLA;IL4I1;SOCS3;LGALS2;BEST4;HPGDS;CA2;PSTPIP2;CCL5;CCL4;S100A12;CCR7;APOE;CD14;IER5;CTSB;TRGV4;CDKN2B;CD163;CCL20;CYBB;MCEMP1;RNASE1;BATF;FCER2;MT1A;GPR183;IL1B;CHI3L2;IRF8;IL7R;CES1;C1QC"
ARCHS4_Tissues;VALVE;47/2316;0,056288757;0,173691021;0;0;1,311307344;3,772972778;"C1QB;C1QA;MAOB;PLXND1;MS4A7;ITLN1;HRCT1;GATA2;KRT86;CLU;AQP1;SELENBP1;HPGDS;FRZB;CREB3L1;DPYSL3;TIMP3;CTSG;IGFBP7;APOE;CD14;PI3;INSL5;PRPH;AFAP1L2;CD163;CMA1;RARRES2;CYBB;BMX;LYVE1;RNASE1;MEIS2;ARHGAP24;ADRA2A;BATF;SMOC2;SELENOM;MT1A;SLPI;PPP1R1B;CHI3L2;XCL2;GPRC5C;SCG2;CES1;C1QC"
ARCHS4_Tissues;CEREBRAL CORTEX;46/2316;0,077600157;0,23280047;0;0;1,278120411;3,267113288;"C1QB;ROBO2;CEP126;MAOB;ARX;CLU;EGFR;RAP1GAP;AQP1;NEUROD1;CALB2;RAB26;KIF5C;MB;SPOCK2;DPYSL3;CA7;MYH14;STXBP6;CLCA4;CHGB;NKX2-2;GALNT8;BCAS1;CHGA;HES6;ABCC8;RIIAD1;DNAJC12;ANK2;ETV1;PROX1;VWA5B2;MEIS2;IL17RB;AZGP1;SLC6A8;NOVA1;PPP1R1B;IL1RAPL1;SCG5;CPE;SCG3;RHOV;INSM1;SCG2"
ARCHS4_Tissues;BRAIN (BULK);45/2316;0,10472843;0,297649222;0;0;1,245201227;2,809652945;"C1QB;MAOB;CLU;RAP1GAP;AQP1;CALB2;RAB26;KIF5C;MB;SPOCK2;CA4;CA7;MYH14;STXBP6;APOE;CLCA4;CHGB;NKX2-2;GALNT8;BCAS1;CHGA;AFAP1L2;ABCC8;RIIAD1;DNAJC12;ANK2;ETV1;PROX1;VWA5B2;RNASE1;SDCBP2;IL17RB;AZGP1;SLC6A8;NOVA1;PPP1R1B;IL1RAPL1;SCG5;CPE;SCG3;RHOV;INSM1;LGR5;SCG2;C1QC"
ARCHS4_Tissues;BREAST (BULK TISSUE);45/2316;0,10472843;0,297649222;0;0;1,245201227;2,809652945;"C1QB;COL17A1;C1QA;ADH1C;MAOB;PLXND1;RORC;HRCT1;MSLN;KRT86;WFDC2;EGFR;AQP1;CALB2;SELENBP1;SOCS3;FRZB;GNA11;CA4;TIMP3;MYH14;SPDEF;EPHB3;AFAP1L2;FZD7;RARRES2;TMEM61;PDZK1IP1;BMX;LYVE1;RNASE1;ADRA2A;SMOC2;AZGP1;SLC6A8;MLPH;SLPI;PPP1R1B;SCNN1A;AGTR1;TFF1;RHOV;GPRC5C;CES1;C1QC"
ARCHS4_Tissues;CORD BLOOD;44/2316;0,138372288;0,373605177;0;0;1,212546864;2,398184267;"PTGER4;CD83;HDC;MS4A7;CDCA7;HMGB2;CXCR4;TNFAIP3;LRMP;CLEC9A;CST7;AREG;TNFSF13B;CD79B;IL4I1;LGALS2;HPGDS;PSTPIP2;C1QBP;PCLAF;S100A12;CTSG;ICOS;SLC18A2;CPA3;FYB1;ANXA1;CCL20;KRT1;NKG7;CYBB;MCEMP1;BATF;CD2;FCER2;SVOPL;SELL;CD5;GPR183;IL1B;CD7;IRF8;TFF1;S100P"
ARCHS4_Tissues;KERATINOCYTE;44/2316;0,138372288;0,373605177;0;0;1,212546864;2,398184267;"COL17A1;KLK1;REP15;TNFAIP3;MSLN;KRT86;AREG;THBS1;EGFR;CALB2;KRTCAP3;IL1RL1;CA2;PBK;MYH14;SOX9;PI3;IER5;DUOX2;CLCA4;CD177;EPHB3;RNF43;AFAP1L2;CDKN2B;GALNT5;ANXA1;CCL20;KRT1;TMEM61;OTOP2;PDZK1IP1;ISL1;SDCBP2;FERMT1;AZGP1;SLPI;CEACAM6;IL1B;SCNN1A;LCN2;S100P;RHOV;CD24"
ARCHS4_Tissues;PREFRONTAL CORTEX;43/2316;0,179002965;0,471520006;0;0;1,180154439;2,030282121;"ROBO2;CEP126;RGS13;ARX;ROBO1;NEUROD1;CALB2;ODF2L;KIF5C;DPYSL3;STMN1;CHP2;CA7;PLCE1;SH2D6;NKX2-2;RUNX1T1;GALNT8;BCAS1;SLC12A2;HES6;ABCC8;TUBB;CADPS;ANK2;ETV1;PROX1;MEIS2;ADRA2A;SULT1B1;VCAN;MAF;NOVA1;ID2;IL1RAPL1;SCG5;SLC29A4;CPE;KLRD1;SCG3;INSM1;CD24;PLPP2"
ARCHS4_Tissues;BASAL CELL;42/2316;0,226761199;0,544226879;0;0;1,148021108;1,703500076;"COL17A1;REP15;RORC;CXCL3;MSLN;KRT86;AREG;THBS1;WFDC2;EGFR;KRTCAP3;IL1RL1;MYH14;PI3;DUOX2;CLCA4;SPDEF;EPHB3;RNF43;AFAP1L2;CDKN2B;GALNT5;ANXA1;CCL20;TMEM61;PDZK1IP1;ISL1;SDCBP2;FERMT1;SMOC2;AZGP1;SLC6A8;SLPI;CEACAM7;CEACAM6;CEACAM5;SCNN1A;LCN2;S100P;RHOV;CD24;GPRC5C"
ARCHS4_Tissues;CINGULATE GYRUS;42/2316;0,226761199;0,544226879;0;0;1,148021108;1,703500076;"ROBO2;CEP126;MAOB;ARX;HRCT1;CLU;COL19A1;EGFR;RAP1GAP;CALB2;IL1RL1;FRZB;KIF5C;CA2;SPOCK2;CA4;CA7;STXBP6;CLCA4;CHGB;RUNX1T1;BCAS1;CHGA;AFAP1L2;ABCC8;ANK2;ETV1;PROX1;VWA5B2;RNASE1;SMOC2;MT1A;NOVA1;PPP1R1B;KIT;IL1RAPL1;SCG5;CPE;SCG3;LGR5;SCG2;C1QC"
ARCHS4_Tissues;NEURONAL EPITHELIUM;42/2316;0,226761199;0,544226879;0;0;1,148021108;1,703500076;"ROBO2;RAB3B;ARX;CDCA7;HMGB2;RPS4Y1;BRCA2;MKI67;CLU;ROBO1;ODF2L;PTTG1;KIF5C;DPYSL3;STMN1;PCLAF;PBK;PLCE1;SOX9;SH2D6;RUNX1T1;SLC12A2;HES6;RRM2;UBE2C;TUBB;CADPS;ANK2;ETV1;PROX1;RGMB;MEIS2;SULT1B1;VCAN;NOVA1;IL1RAPL1;SLC29A4;CPE;SFXN1;KLRD1;SCG3;CD24"
ARCHS4_Tissues;PLASMA CELL;42/2316;0,226761199;0,544226879;0;0;1,148021108;1,703500076;"FKBP11;C1QB;IL22;KLK1;RGS13;DERL3;ARX;CXCR4;LRMP;BRCA2;SELENOK;MSLN;AREG;SMIM6;WFDC2;CD79B;FCRLA;KRTCAP3;CD79A;PRDX4;FRZB;RAB26;SIT1;MUC12;CA7;TNFRSF17;TIGIT;CLCA4;BCAS1;SEC11C;FCRL1;NXPE4;DNAJC12;CYBB;UGT2B17;PAX5;FCER2;CEACAM1;SELENOM;BANK1;GPR183;MS4A1"
ARCHS4_Tissues;MIDBRAIN;41/2316;0,281369552;0,64655131;0;0;1,116144069;1,415367052;"ARX;CXCR4;RPS4Y1;SELENOK;NEUROD1;ODF2L;CA1;PTTG1;FRZB;KIF5C;DPYSL3;STMN1;PCLAF;PBK;PLCE1;TIMP3;SOX9;APOE;NKX2-2;RUNX1T1;SMIM14;HES6;TUBB;CADPS;PDE4C;ANK2;PROX1;CEACAM1;B3GNT6;NOVA1;ID2;FEV;SCG5;SLC29A4;EBPL;CPE;SCG3;TNFRSF25;INSM1;CD24;SCG2"
ARCHS4_Tissues;VENTRICLE;41/2316;0,281369552;0,64655131;0;0;1,116144069;1,415367052;"C1QB;C1QA;ADH1C;MAOB;PLXND1;REP15;ITLN1;RORC;HRCT1;THBS1;EGFR;AQP1;IL1RL1;FRZB;MB;CREB3L1;CA4;TIMP3;MYH14;IGFBP7;STXBP6;CD163;CMA1;FZD7;ANK2;ETV1;PROX1;BMX;LYVE1;RNASE1;MEIS2;ARHGAP24;SMOC2;AZGP1;VCAN;MT1A;SLC6A8;TBC1D4;AGTR1;CES1;C1QC"
ARCHS4_Tissues;FETAL BRAIN CORTEX;40/2316;0,342077535;0,724399486;0;0;1,08452056;1,163384571;"ROBO2;ITK;BEST2;ROBO1;SPIB;NEUROD1;ODF2L;RAB26;KIF5C;DPYSL3;STMN1;PCLAF;FFAR4;CHP2;SH2D6;DUOX2;RUNX1T1;SLC12A2;FCRL1;HES6;TUBB;CADPS;PDE4C;ANXA13;ANK2;MEIS2;SULT1B1;FABP2;NOVA1;SCG5;SLC29A4;CPE;SFXN1;KLRD1;SCG3;CD24;MS4A2;PLPP2;DNASE1L3;CFTR"
ARCHS4_Tissues;GRANULOCYTE;40/2316;0,342077535;0,724399486;0;0;1,08452056;1,163384571;"PTGER4;FCN1;COL17A1;SERPINA1;AVIL;RORC;CXCR4;LRMP;CLEC9A;CST7;BEST2;ASCL2;LILRA4;SOCS3;IL1RL1;CA4;S100A12;UGT2A3;CD14;PI3;TRPM5;SH2D6;SLC18A2;CD177;FCRL1;FYB1;CYBB;MCEMP1;OLFM4;BMX;LYVE1;ARHGAP24;FABP2;SLPI;SELL;CEACAM6;IL1B;LCN2;S100P;LTB"
ARCHS4_Tissues;SPINAL CORD;40/2316;0,342077535;0,724399486;0;0;1,08452056;1,163384571;"ROBO2;SH2D7;MAOB;EGFR;RAP1GAP;AQP1;ROBO1;CALB2;FRZB;KIF5C;SPOCK2;DPYSL3;TIMP3;NKX2-2;RUNX1T1;GALNT8;PRPH;BCAS1;EPHB3;CHGA;HES6;AFAP1L2;ABCC8;RIIAD1;ANK2;PROX1;VWA5B2;RGMB;ISL1;LYVE1;MEIS2;ADRA2A;SMOC2;SLC6A8;NOVA1;PPP1R1B;IL1RAPL1;CPE;LGR5;SCG2"
ARCHS4_Tissues;SPINAL CORD (BULK);40/2316;0,342077535;0,724399486;0;0;1,08452056;1,163384571;"ROBO2;SH2D7;MAOB;EGFR;RAP1GAP;AQP1;ROBO1;CALB2;FRZB;KIF5C;SPOCK2;DPYSL3;TIMP3;NKX2-2;RUNX1T1;GALNT8;PRPH;BCAS1;EPHB3;CHGA;HES6;AFAP1L2;ABCC8;RIIAD1;ANK2;PROX1;VWA5B2;RGMB;ISL1;LYVE1;MEIS2;ADRA2A;SMOC2;SLC6A8;NOVA1;PPP1R1B;IL1RAPL1;CPE;LGR5;SCG2"
ARCHS4_Tissues;NEUTROPHIL;39/2316;0,407655145;0,846668379;0;0;1,053147856;0,945025056;"PTGER4;FCN1;SERPINA1;AVIL;CXCR4;TNFAIP3;LRMP;CLEC9A;CST7;ASCL2;LILRA4;SOCS3;IL1RL1;CA4;CCL4;S100A12;CD14;PI3;SLC18A2;CD177;FCRL1;FYB1;CYBB;MCEMP1;OLFM4;BMX;LYVE1;BATF;FCER2;CEACAM1;SLPI;SELL;CD5;CEACAM6;IL1B;CD7;LCN2;S100P;LTB"
ARCHS4_Tissues;HUMAN ZYGOTE;38/2316;0,476444683;0,952889367;0;0;1,022023272;0,757731787;"RETNLB;HHLA2;HDC;DERL3;LEF1;LRMP;BRCA2;SMIM6;WFDC2;TCL1A;DMBT1;PTTG1;PBK;MUC12;STXBP6;TRPM5;TIGIT;SLC18A2;RUNX1T1;HES6;AFAP1L2;RRM2;CCL20;UBE2C;RARRES2;RIIAD1;TMEM61;ANO7;OLFM4;ISL1;FERMT1;SVOPL;KIT;IL1RAPL1;IRF8;SCG2;CDK15;CFTR"
ARCHS4_Tissues;PODOCYTE;38/2316;0,476444683;0,952889367;0;0;1,022023272;0,757731787;"COL17A1;REP15;HRCT1;CXCL3;MSLN;KRT86;AREG;SMIM6;THBS1;EGFR;AQP1;IL4I1;ALDH1B1;CREB3L1;DPYSL3;UGT2A3;IGFBP7;MS4A12;CD177;IL32;AFAP1L2;CDKN2B;GALNT5;CCL20;FZD7;RARRES2;ANO7;PDZK1IP1;IL17RB;FERMT1;VCAN;LCN2;RHOV;GPRC5C;LGR5;CDK15;CFTR;FOXA3"
ARCHS4_Tissues;ATRIUM;37/2316;0,546471772;0,999991104;0;0;0,991144161;0,598921284;"MAOB;PLXND1;REP15;ITLN1;HRCT1;MSLN;EGFR;AQP1;CALB2;SELENBP1;IL1RL1;MB;GNA11;TIMP3;IGFBP7;STXBP6;APOE;TRPM5;AFAP1L2;RARRES2;ANK2;ETV1;PROX1;BMX;LYVE1;RNASE1;MEIS2;ARHGAP24;FERMT1;SMOC2;SELENOM;VCAN;SLC6A8;TBC1D4;AGTR1;GPRC5C;CES1"
ARCHS4_Tissues;HEART (BULK TISSUE);37/2316;0,546471772;0,999991104;0;0;0,991144161;0,598921284;"C1QB;C1QA;ADH1C;MAOB;REP15;ITLN1;RORC;HRCT1;EGFR;AQP1;SELENBP1;IL1RL1;FRZB;MB;CA4;TIMP3;MYH14;STXBP6;AFAP1L2;CMA1;ANK2;ETV1;PROX1;BMX;LYVE1;RNASE1;MEIS2;ARHGAP24;SMOC2;AZGP1;MT1A;SLC6A8;TBC1D4;IL1RAPL1;AGTR1;CES1;C1QC"
ARCHS4_Tissues;LUNG EPITHELIAL CELL;37/2316;0,546471772;0,999991104;0;0;0,991144161;0,598921284;"COL17A1;SH2D7;DERL3;CDCA7;HRCT1;RPS4Y1;BRCA2;MKI67;TYMS;BEST2;CXCL3;MSLN;KRT86;AREG;WFDC2;EGFR;GNA11;PBK;CA7;TK1;PI3;PRPH;CDKN2B;RRM2;KLRC2;CCL20;UBE2C;TMEM61;PDZK1IP1;FERMT1;MT1A;SLC6A8;SLPI;SCNN1A;LCN2;S100P;RHOV"
ARCHS4_Tissues;MYOFIBROBLAST;37/2316;0,546471772;0,999991104;0;0;0,991144161;0,598921284;"RAB3B;SH2D7;REP15;LEF1;HRCT1;MSLN;KRT86;AREG;THBS1;EGFR;AQP1;FRZB;CREB3L1;DPYSL3;PBK;MUC12;TIMP3;IGFBP7;STXBP6;TK1;SPDEF;CD177;EPHB3;AFAP1L2;CDKN2B;GALNT5;RRM2;UBE2C;FZD7;RARRES2;RGMB;CKAP4;FERMT1;SELENOM;MT1A;RHOV;CDK15"
ARCHS4_Tissues;OOCYTE;37/2316;0,546471772;0,999991104;0;0;0,991144161;0,598921284;"CD83;HHLA2;HDC;DERL3;LEF1;LRMP;BRCA2;SMIM6;WFDC2;TCL1A;PTTG1;PBK;MUC12;STXBP6;TRPM5;TIGIT;SLC18A2;RUNX1T1;HES6;AFAP1L2;GALNT5;RRM2;CCL20;UBE2C;RARRES2;RIIAD1;TMEM61;ANO7;OLFM4;ISL1;FERMT1;SVOPL;KIT;IL1RAPL1;IRF8;CDK15;CFTR"
ARCHS4_Tissues;ERYTHROBLAST;36/2316;0,615605693;0,999991104;0;0;0,960507913;0,465989097;"HDC;DERL3;ITLN1;HEPACAM2;HMGB2;GATA2;MKI67;TYMS;AREG;RAP1GAP;AQP1;SELENBP1;IL1RL1;HPGDS;CA1;PTTG1;CA2;PSTPIP2;PBK;CTSG;TK1;CTSE;CPA3;HES6;GALNT5;RRM2;UBE2C;KRT1;CYBB;MCEMP1;PDZK1IP1;SLC6A8;KIT;S100P;RHOV;CDK15"
ARCHS4_Tissues;FIBROBLAST;36/2316;0,615605693;0,999991104;0;0;0,960507913;0,465989097;"RAB3B;PLXND1;REP15;HRCT1;GATA2;MKI67;KRT86;THBS1;EGFR;ROBO1;SOCS3;CREB3L1;GNA11;DPYSL3;PBK;TIMP3;IGFBP7;STXBP6;TK1;CTSB;RUNX1T1;EPHB3;CDKN2B;GALNT5;ANXA1;RRM2;FZD7;RGMB;MEIS2;ARHGAP24;CKAP4;FERMT1;SELENOM;MLPH;AGTR1;CDK15"
ARCHS4_Tissues;GRANULOSA CELL;36/2316;0,615605693;0,999991104;0;0;0,960507913;0,465989097;"FKBP11;SH2D7;KLK1;MAOB;AQP8;HDC;TNFAIP3;AREG;THBS1;EGFR;CALB2;SOCS3;IL1RL1;SPOCK2;DPYSL3;MUC12;SOX9;APOE;TRPM5;DUOX2;CHGB;CCL20;PROX1;ANO7;VWA5B2;LYVE1;MEIS2;ARHGAP24;SMOC2;AZGP1;VCAN;MT1A;SLC6A8;TBC1D4;CD24;SLC26A3"
ARCHS4_Tissues;SENSORY NEURON;36/2316;0,615605693;0,999991104;0;0;0,960507913;0,465989097;"ROBO2;RAB3B;COL17A1;AVIL;LEF1;RAP1GAP;ROBO1;CALB2;SCGN;FRZB;KIF5C;SPOCK2;DPYSL3;MUC12;CD177;RUNX1T1;GALNT8;PRPH;CHGA;AFAP1L2;CDKN2B;ABCC8;RIIAD1;ANK2;ETV1;RGMB;ISL1;MEIS2;IL17RB;VCAN;RFX6;SCG3;INSM1;CD24;SCG2;CDK15"
ARCHS4_Tissues;SKELETAL MUSCLE (BULK TISSUE);36/2316;0,615605693;0,999991104;0;0;0,960507913;0,465989097;"ADH1C;MAOB;AVIL;MS4A8;ARX;RORC;HRCT1;EGFR;AQP1;SELENBP1;FRZB;CA2;MB;DPYSL3;CA4;TIMP3;MYH14;AFAP1L2;CMA1;FZD7;ANK2;CMBL;PROX1;RGMB;BMX;LYVE1;RNASE1;ARHGAP24;SMOC2;SLC6A8;MAF;TBC1D4;AGTR1;GPRC5C;LGR5;CDK15"
ARCHS4_Tissues;CD19+ B CELLS;35/2316;0,681748982;0,999991104;0;0;0,930111953;0,356320076;"PTGER4;CD83;RGS13;DERL3;CXCR5;CXCR4;LRMP;ETS1;COL19A1;LILRA4;CD79B;SPIB;FCRLA;IL4I1;CD79A;TCL1A;BEST4;SIT1;SPOCK2;TNFRSF17;CCR7;TRPM5;TIGIT;FCRL1;CYBB;UGT2B17;PAX5;ARHGAP24;FCER2;BANK1;GPR183;CHI3L2;IRF8;LTB;MS4A1"
ARCHS4_Tissues;BLYMPHOCYTE;34/2316;0,743029155;0,999991104;0;0;0,899953744;0,267304257;"CD83;KLK1;RGS13;DERL3;CXCR5;CXCR4;LRMP;ETS1;COL19A1;LILRA4;CD79B;SPIB;FCRLA;IL4I1;CD79A;TCL1A;SIT1;TNFRSF17;CCR7;TK1;IER5;FCRL1;RNF43;CYBB;UGT2B17;PAX5;ARHGAP24;FCER2;BANK1;GPR183;CHI3L2;IRF8;LTB;MS4A1"
