Gene_set;Term;Overlap;P-value;Adjusted P-value;Old P-value;Old Adjusted P-value;Odds Ratio;Combined Score;Genes
ARCHS4_Tissues;OMENTUM;69/2316;2,69E-07;2,64E-06;0;0;2,115669377;32,00575818;"PLXND1;MS4A7;TNFAIP3;HRCT1;CXCL3;MSLN;AREG;WFDC2;AQP1;CALB2;IL4I1;HPGDS;DPYSL3;CA4;TIMP3;CTSG;CPA3;CYBB;ISL1;RNASE1;ADRA2A;AZGP1;SELENOM;MT1A;MAF;SLPI;CD8A;AGTR1;IRF8;CES1;C1QB;PTGER4;C1QA;ADH1C;KLK1;MAOB;HDC;ITLN1;KRT86;THBS1;EGFR;SELENBP1;SOCS3;IL1RL1;FRZB;SPOCK2;CCL4;MYH14;IGFBP7;APOE;CD14;PRPH;AFAP1L2;CDKN2B;CD163;CMA1;FZD7;RARRES2;PDZK1IP1;BMX;LYVE1;ARHGAP24;GZMK;SMOC2;GPR183;PPP1R1B;CPE;CDK15;C1QC"
ARCHS4_Tissues;REGULATORY T CELLS;68/2316;5,76E-07;5,18E-06;0;0;2,075755877;29,82294545;"ITK;IFITM1;CD83;TRAC;RORC;TNFAIP3;CD3G;RORA;CD3E;CD3D;GIMAP7;ETS1;IL4I1;PTTG1;SIT1;TRBC2;TRBC1;MUC12;CTLA4;CCR7;TK1;CD177;TRGV4;RNF43;FOXP3;IL17RB;GPRIN3;AZGP1;CEACAM1;SELENOM;MAF;TBC1D4;CHI3L2;XCL2;TFF1;TNFRSF25;LTB;PTGER4;KLRB1;LEF1;CXCR5;CXCR4;CST7;CD79B;CD79A;SPOCK2;LEPROTL1;CCL4;ICOS;TIGIT;SPDEF;IL32;AFAP1L2;FYB1;CCL20;TRAT1;GZMA;TRDV1;BATF;CD2;GZMK;CD40LG;CD6;SELL;CD5;GPR183;CD7;IL7R"
ARCHS4_Tissues;GASTRIC EPITHELIAL CELL;65/2316;5,05E-06;4,20E-05;0;0;1,958066195;23,88040058;"SERPINA1;MS4A8;RORC;HRCT1;CXCL3;MSLN;AREG;WFDC2;KRTCAP3;AKR7A3;CA2;CREB3L1;UGT2A3;CTSE;BCAS1;ANO7;OLFM4;ISL1;RNASE1;SDCBP2;AZGP1;CEACAM1;SLPI;CEACAM7;BANK1;CEACAM6;B3GNT6;CEACAM5;SCNN1A;TFF1;CDHR5;RHOV;PLPP2;GPRC5C;CFTR;COL17A1;ADH1C;KLK1;HHLA2;REP15;ITLN1;KRT86;SMIM6;EGFR;RAP1GAP;MYH14;PI3;DUOX2;SPDEF;SLC12A2;AFAP1L2;CDKN2B;GALNT5;CCL20;REG4;AKR1C3;TMEM61;GUCA2B;PDZK1IP1;FERMT1;MLPH;LCN2;S100P;CD24;FOXA3"
ARCHS4_Tissues;BLOOD PBMC;64/2316;1,00E-05;7,74E-05;0;0;1,91950652;22,09265731;"FCN1;ITK;IFITM1;TRAC;RORC;TNFAIP3;CD3G;RORA;CD3E;CD3D;GIMAP7;ETS1;FCRLA;LGALS2;TCL1A;GNLY;SIT1;TRBC2;TRBC1;CTLA4;CCR7;FCRL1;TRGV4;RNF43;KRT1;FOXP3;GPRIN3;FCER2;CD8B;TBC1D4;BANK1;CD8A;CHI3L2;TNFRSF25;LTB;MS4A1;PTGER4;KLRB1;LEF1;CXCR5;CXCR4;CST7;CD79B;CD79A;SOCS3;SPOCK2;S100A12;ICOS;TIGIT;IL32;FYB1;TRAT1;GZMA;TRDV1;BATF;CD2;GZMK;CD40LG;CD6;CD5;GPR183;CD7;S100P;IL7R"
ARCHS4_Tissues;ALPHA CELL;62/2316;3,74E-05;0,000252426;0;0;1,843369053;18,79118728;"ROBO2;RAB3B;CEP126;SERPINA1;AQP8;MS4A8;HEPACAM2;RORC;BEST2;CLU;WFDC2;SCGN;UCN3;KIF5C;UGT2A3;CTSE;SLC18A2;CHGB;GALNT8;ABCC8;RIIAD1;PAX4;ANK2;ETV1;PROX1;VWA5B2;ISL1;IL17RB;GPRIN3;RFX6;SCG5;SLC29A4;SCG3;CDHR5;GPRC5C;SCG2;CFTR;COL17A1;MAOB;ARX;CRYBA2;SMIM6;RAP1GAP;NEUROD1;TTR;RAB26;MYH14;STXBP6;TRPM5;NKX2-2;RUNX1T1;CHGA;CADPS;TMEM61;DNAJC12;GCG;MEIS2;GUCA2A;FEV;CPE;INSM1;FOXA3"
ARCHS4_Tissues;NATURAL KILLER CELLS;62/2316;3,74E-05;0,000252426;0;0;1,843369053;18,79118728;"FKBP11;ITK;IFITM1;CD83;TRAC;TNFAIP3;RORA;LRMP;CD3E;AREG;CD3D;GIMAP7;IL4I1;GNLY;TRBC2;TRBC1;MUC12;CA7;CTLA4;CCR7;TK1;TRGV4;RNF43;NOSIP;ANO7;GPRIN3;CD8B;CD8A;KIT;CHI3L2;XCL2;IRF8;LTB;PTGER4;KLRB1;CXCR5;CXCR4;CST7;KRT86;ASCL2;CD79B;CD79A;SPOCK2;CCL5;CCL4;TIGIT;IL32;AFAP1L2;FYB1;KLRC2;UBE2C;GZMA;AKR1C3;NKG7;BATF;CD2;GZMK;CD6;SELL;ID2;CD7;KLRD1"
ARCHS4_Tissues;BETA CELL;61/2316;7,01E-05;0,000398693;0;0;1,805783657;17,27234136;"ROBO2;RAB3B;MS4A8;HEPACAM2;RORC;WFDC2;ROBO1;CALB2;SCGN;UCN3;KIF5C;FFAR4;SLC18A2;CHGB;CD177;GALNT8;ABCC8;RIIAD1;PAX4;ETV1;PROX1;VWA5B2;OLFM4;ISL1;IL17RB;ADRA2A;GPRIN3;RFX6;TBC1D4;CEACAM6;SCG5;SLC29A4;SCG3;GPRC5C;SCG2;CFTR;COL17A1;KLK1;CRYBA2;SMIM6;RAP1GAP;NEUROD1;TTR;RAB26;MYH14;TRPM5;NKX2-2;RUNX1T1;PRPH;CHGA;CADPS;TMEM61;DNAJC12;GCG;MEIS2;FEV;LCN2;CPE;INSM1;CD24;FOXA3"
ARCHS4_Tissues;PANCREATIC ISLET;61/2316;7,01E-05;0,000398693;0;0;1,805783657;17,27234136;"ROBO2;RAB3B;CEP126;SERPINA1;MS4A8;HEPACAM2;CLU;TNFSF13B;SPIB;SCGN;UCN3;KIF5C;FFAR4;PLCE1;CHGB;SMIM14;ABCC8;PDE4C;RIIAD1;ETV1;CMBL;PROX1;VWA5B2;ISL1;CEACAM1;RFX6;CEACAM7;SCNN1A;SCG5;SLC29A4;SCG3;PLPP2;SCG2;ARX;CRYBA2;SELENOK;SMIM6;RAP1GAP;NEUROD1;ODF2L;PRDX4;TTR;RAB26;MYH14;DUOX2;NKX2-2;RUNX1T1;SEC11C;CHGA;CADPS;TMEM61;DNAJC12;GCG;MEIS2;SULT1B1;NOVA1;FEV;CPE;SFXN1;KLRD1;INSM1"
ARCHS4_Tissues;TLYMPHOCYTE;61/2316;7,01E-05;0,000398693;0;0;1,805783657;17,27234136;"FKBP11;ITK;IL22;IFITM1;TRAC;TNFAIP3;CD3G;RORA;CD3E;CD3D;GIMAP7;ETS1;GNLY;SIT1;TRBC2;TRBC1;CTLA4;CCR7;TRGV4;ANXA1;NOSIP;FOXP3;MAF;CD8B;CD8A;XCL2;TNFRSF25;LTB;PTGER4;KLRB1;LEF1;CXCR4;CST7;TYMS;SPOCK2;CCL5;LEPROTL1;CCL4;ICOS;TIGIT;IL32;FYB1;KLRC2;CCL20;TRAT1;REG4;GZMA;TRDV1;NKG7;BATF;CD2;GZMK;CD40LG;CD6;SELL;CD5;GPR183;ID2;CD7;KLRD1;IL7R"
ARCHS4_Tissues;AMNIOTIC FLUID;60/2316;0,000129018;0,000663519;0;0;1,768515511;15,83805005;"SERPINA1;MS4A8;RORC;MSLN;WFDC2;AQP1;CALB2;DMBT1;CREB3L1;MUC12;CTSE;CD177;BCAS1;EPHB3;RNF43;ANXA1;KRT1;ETV1;OLFM4;RNASE1;SDCBP2;AZGP1;RFX6;SLPI;CEACAM7;CEACAM6;CEACAM5;SCNN1A;TFF1;RHOV;CFTR;COL17A1;ADH1C;KLK1;HHLA2;SMIM6;EGFR;RAP1GAP;SELENBP1;S100A12;MYH14;STXBP6;PI3;DUOX2;CLCA4;SPDEF;AFAP1L2;CDKN2B;GALNT5;TMEM61;OTOP2;PDZK1IP1;ARHGAP24;FERMT1;MLPH;PPP1R1B;LCN2;S100P;LGR5;SLC26A3"
